	Cyber Champions League 01:30 - 04:00			
Time	Player (Blue)	Match results	Player (Red)	Video
1:30	Manchester City (Supernova)	1 - 1 (1 - 0)	Borussia Dortmund (Baphomet)	channel 1
1:30	Atletico Madrid (Ishking11)	0 - 1 (0 - 0)	Tottenham (OoLancer)	channel 2
1:44	Atletico Madrid (Ishking11)	0 - 3 (0 - 2)	Borussia Dortmund (Baphomet)	channel 1
1:44	Napoli (specialist)	2 - 0 (1 - 0)	Tottenham (OoLancer)	channel 2
1:59	Napoli (specialist)	3 - 1 (1 - 0)	Atletico Madrid (Ishking11)	channel 1
1:59	Tottenham (OoLancer)	4 - 0 (3 - 0)	Manchester City (Supernova)	channel 2
2:14	Napoli (specialist)	2 - 0 (1 - 0)	Borussia Dortmund (Baphomet)	channel 1
2:14	Manchester City (Supernova)	3 - 2 (1 - 1)	Atletico Madrid (Ishking11)	channel 2
2:28	Tottenham (OoLancer)	4 - 2 (3 - 1)	Borussia Dortmund (Baphomet)	channel 1
2:28	Manchester City (Supernova)	0 - 3 (0 - 3)	Napoli (specialist)	channel 2
2:43	Borussia Dortmund (Baphomet)	1 - 2 (0 - 0)	Manchester City (Supernova)	channel 1
2:43	Tottenham (OoLancer)	4 - 0 (3 - 0)	Atletico Madrid (Ishking11)	channel 2
2:58	Borussia Dortmund (Baphomet)	3 - 2 (2 - 0)	Atletico Madrid (Ishking11)	channel 1
2:58	Tottenham (OoLancer)	2 - 0 (0 - 0)	Napoli (specialist)	channel 2
3:12	Atletico Madrid (Ishking11)	1 - 3 (0 - 1)	Napoli (specialist)	channel 1
3:12	Manchester City (Supernova)	2 - 2 (2 - 2)	Tottenham (OoLancer)	channel 2
3:27	Borussia Dortmund (Baphomet)	2 - 5 (1 - 4)	Napoli (specialist)	channel 1
3:27	Atletico Madrid (Ishking11)	2 - 1 (1 - 1)	Manchester City (Supernova)	channel 2
3:42	Borussia Dortmund (Baphomet)	0 - 3 (0 - 2)	Tottenham (OoLancer)	channel 1
3:42	Napoli (specialist)	1 - 0 (0 - 0)	Manchester City (Supernova)	channel 2
	Cyber Champions League  01:30 - 04:00			
Time	Player (Blue)	Match results	Player (Red)	Video
1:30	Juventus (Fric)	4 - 0 (2 - 0)	Liverpool (Indra13_27)	channel 3
1:30	FC Bayern (Miller)	1 - 1 (0 - 1)	Barcelona (skripp)	channel 4
1:44	FC Bayern (Miller)	2 - 2 (1 - 0)	Liverpool (Indra13_27)	channel 3
1:44	PSG (Klexter)	3 - 4 (3 - 1)	Barcelona (skripp)	channel 4
1:59	PSG (Klexter)	2 - 3 (0 - 3)	FC Bayern (Miller)	channel 3
1:59	Barcelona (skripp)	3 - 1 (2 - 1)	Juventus (Fric)	channel 4
2:14	PSG (Klexter)	2 - 1 (1 - 1)	Liverpool (Indra13_27)	channel 3
2:14	Juventus (Fric)	1 - 4 (1 - 2)	FC Bayern (Miller)	channel 4
2:28	Barcelona (skripp)	2 - 2 (0 - 2)	Liverpool (Indra13_27)	channel 3
2:28	Juventus (Fric)	1 - 2 (0 - 2)	PSG (Klexter)	channel 4
2:43	Liverpool (Indra13_27)	4 - 1 (1 - 1)	Juventus (Fric)	channel 3
2:43	Barcelona (skripp)	0 - 2 (0 - 0)	FC Bayern (Miller)	channel 4
2:58	Liverpool (Indra13_27)	1 - 2 (0 - 2)	FC Bayern (Miller)	channel 3
2:58	Barcelona (skripp)	2 - 1 (1 - 1)	PSG (Klexter)	channel 4
3:12	FC Bayern (Miller)	6 - 0 (3 - 0)	PSG (Klexter)	channel 3
3:12	Juventus (Fric)	0 - 2 (0 - 2)	Barcelona (skripp)	channel 4
3:27	Liverpool (Indra13_27)	2 - 1 (2 - 1)	PSG (Klexter)	channel 3
3:27	FC Bayern (Miller)	2 - 1 (2 - 0)	Juventus (Fric)	channel 4
3:42	Liverpool (Indra13_27)	0 - 1 (0 - 1)	Barcelona (skripp)	channel 3
3:42	PSG (Klexter)	1 - 1 (1 - 0)	Juventus (Fric)	channel 4
	Cyber Europa League 4:00 - 6:30			
Time	Player (Blue)	Match results	Player (Red)	Video
4:00	Roma (Supernova)	6 - 1 (2 - 1)	Porto  (Baphomet)	channel 1
4:00	Getafe (Ishking11)	2 - 3 (0 - 2)	Borussia Monchengladbach (OoLancer)	channel 2
